transaction_id,client_id,amount,transaction_type,timestamp,client_country,counterparty_country,ofac_match_flag,fatf_country_flag,structuring_pattern_flag,rapid_movement_flag,trade_mispricing_flag
1,1412,1027.64,Check,2025-08-20 09:21:56,IN,SG,0,0,0,0,0
2,1035,518.82,SWIFT,2025-09-07 07:52:58,RU,NL,0,0,0,0,0
3,704,460.78,SWIFT,2025-09-28 03:00:43,LB,IN,0,0,0,0,0
4,1073,1625.76,Wire,2025-08-22 04:57:11,AE,CA,0,0,0,0,0
5,1622,1856.47,SWIFT,2025-08-07 19:49:50,CH,IN,0,0,0,0,0
6,1053,2786.86,SWIFT,2025-08-25 22:09:24,IR,US,0,0,0,0,0
7,999,513.52,SWIFT,2025-09-06 11:54:17,CH,JP,0,0,0,0,0
8,681,1884.2,Wire,2025-08-02 20:42:22,NL,CN,0,0,0,0,0
9,637,325.81,SWIFT,2025-09-08 05:11:54,US,UK,0,0,0,0,0
10,578,322.84,ACH,2025-08-13 17:55:46,FR,CH,0,0,0,0,0
11,1541,15.27,Wire,2025-08-15 04:28:33,AU,CA,0,0,0,0,0
12,283,2712.83,Wire,2025-09-03 20:08:57,IN,CN,0,0,0,0,0
13,964,2352.74,Wire,2025-08-26 21:31:33,KP,IN,0,0,0,0,0
14,1203,2177.45,ACH,2025-09-12 08:03:00,NL,DE,0,0,0,0,0
15,279,2574.84,ACH,2025-07-16 15:40:49,VE,NL,0,0,0,0,0
16,536,1326.71,Check,2025-09-23 18:56:39,US,NL,0,0,0,0,0
17,304,3079.57,Wire,2025-07-27 09:33:29,IN,AE,0,0,0,0,0
18,1766,6897.1,Check,2025-08-27 09:28:10,UK,CN,0,0,0,0,0
19,534,498.02,Wire,2025-09-21 13:43:28,RU,DE,0,0,0,0,0
20,1212,7544.11,Check,2025-09-29 15:06:06,AU,IN,0,0,0,0,0
21,477,286.27,SWIFT,2025-07-09 03:06:51,UK,AU,0,0,0,0,0
22,981,782.34,Wire,2025-08-11 16:18:52,UK,NL,0,0,0,0,0
23,1774,7778.51,SWIFT,2025-08-25 12:17:54,CN,JP,0,0,0,0,0
24,1877,5304.83,SWIFT,2025-07-22 10:11:57,VE,IN,0,0,0,0,0
25,1462,3258.6,Check,2025-09-03 12:28:22,SY,JP,0,0,0,0,0
26,1206,1567.46,Check,2025-07-12 02:26:23,JP,IR,1,1,0,0,0
27,230,1323.84,Check,2025-07-28 10:29:58,DE,DE,0,0,0,0,0
28,1312,285.82,SWIFT,2025-07-17 13:35:24,US,CH,0,0,0,0,0
29,160,832.75,ACH,2025-08-18 04:49:52,KP,CA,0,0,0,0,0
30,1148,875.53,Check,2025-08-14 21:14:50,JP,CA,0,0,0,0,0
31,1817,138.31,Check,2025-09-24 20:46:36,SG,SG,0,0,0,0,0
32,1850,1373.89,SWIFT,2025-09-26 13:01:17,CN,FR,0,0,0,0,0
33,683,1202.23,Check,2025-09-23 06:35:36,VE,AU,0,0,0,0,0
34,1230,14896.56,Check,2025-07-06 06:00:17,CA,CH,0,0,0,0,0
35,55,951.2,ACH,2025-07-05 11:36:11,SD,AE,0,0,0,0,0
36,1075,1576.3,ACH,2025-08-15 09:18:16,JP,CH,0,0,0,0,0
37,1636,4372.18,SWIFT,2025-08-24 07:07:18,UK,SY,1,0,0,0,0
38,1214,1352.46,SWIFT,2025-08-27 23:04:38,SG,IN,0,0,0,0,0
39,1703,9680.17,Check,2025-08-22 22:16:25,RU,SG,0,0,1,0,0
40,1111,660.32,ACH,2025-09-20 20:37:37,NL,US,0,0,0,0,0
41,500,4043.03,Check,2025-09-24 01:17:21,CA,UK,0,0,0,0,0
42,216,405.06,ACH,2025-07-18 04:04:39,AU,NL,0,0,0,0,0
43,688,455.6,ACH,2025-09-21 09:30:14,DE,NL,0,0,0,0,0
44,1944,1304.17,SWIFT,2025-07-09 12:17:03,UK,AU,0,0,0,0,0
45,245,16024.74,Wire,2025-08-04 02:26:16,SY,JP,0,0,0,0,0
46,702,2731.02,Check,2025-08-18 18:22:59,IN,FR,0,0,0,0,0
47,441,488.55,Check,2025-08-14 14:14:02,FR,DE,0,0,0,0,0
48,1756,90.74,ACH,2025-09-30 18:48:16,IN,JP,0,0,0,0,0
49,690,1783.02,Check,2025-08-03 22:10:46,UK,JP,0,0,0,0,0
50,965,4764.01,Check,2025-08-22 15:57:45,SY,CH,0,0,0,0,0
51,1502,28875.37,ACH,2025-08-01 18:01:31,JP,AU,0,0,0,0,0
52,325,475.45,SWIFT,2025-08-24 14:42:54,AE,NL,0,0,0,0,0
53,448,4508.94,Check,2025-07-19 05:56:47,CA,AU,0,0,0,0,0
